%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=208331, 2021/05/20 19:8:10.32)
1 19 9.586995e-01 1.147999e+02  1.206682495898560477e-02  1.206682495898560477e-02  2.163713695677058763e-02  1.738949815430380907e-01
2 37 9.301407e-01 1.270202e+02  1.206682495898560477e-02  1.239938775593591239e-02  1.988016187890628839e-02  3.885201015753458331e-01
3 55 9.166834e-01 1.353126e+02  1.206682495898560477e-02  1.207486324636697882e-02  1.840389684428394776e-02  7.819722864357261383e-01
4 73 8.968198e-01 1.376360e+02  1.206682495898560477e-02  1.242224113692233685e-02  1.403940425273433878e-02  1.168346053294385678e-01
5 91 8.690942e-01 1.415339e+02  1.194042712691675660e-02  1.194042712691675660e-02  1.390969099311110090e-02  1.180003289931031568e-01
6 109 8.378263e-01 1.409515e+02  1.194042712691675660e-02  1.210580922315323063e-02  1.624029835704887681e-02  1.912231359990910762e-01
7 127 8.209136e-01 1.415443e+02  1.194042712691675660e-02  1.214002206388572862e-02  1.427324795803948040e-02  1.745009014073103382e-01
8 145 8.129771e-01 1.428056e+02  1.194042712691675660e-02  1.207203095108155648e-02  1.320794763941148323e-02  4.440153500434199096e-02
9 163 7.869970e-01 1.481652e+02  1.194042712691675660e-02  1.230707345453816229e-02  1.605216993874297032e-02  1.459914118208491818e-01
10 181 7.720866e-01 1.463402e+02  1.194016097438072022e-02  1.194016097438072022e-02  1.434744759544116961e-02  4.555082648223423430e-02
11 199 7.709226e-01 1.510061e+02  1.194016097438072022e-02  1.196987677542719550e-02  1.623834924414624056e-02  7.087355135211013957e-02
12 217 7.717883e-01 1.541237e+02  1.194016097438072022e-02  1.206160637596487631e-02  1.340039449516377754e-02  4.256555036347416804e-02
13 235 7.702936e-01 1.582009e+02  1.194016097438072022e-02  1.211753275179323387e-02  1.322160174852206327e-02  1.904889492690885547e-02
14 253 7.612376e-01 1.635638e+02  1.191022073458050667e-02  1.191022073458050667e-02  1.308424220677957203e-02  5.117115637498786951e-02
15 271 7.480531e-01 1.699046e+02  1.191022073458050667e-02  1.197292243975319609e-02  1.332217075817956897e-02  1.725337952598538643e-02
16 289 7.312757e-01 1.728797e+02  1.191022073458050667e-02  1.204288201340377416e-02  1.407379619034183557e-02  1.899153519524499761e-02
17 307 7.252265e-01 1.763205e+02  1.189058246555869079e-02  1.189058246555869079e-02  1.227083419250904646e-02  1.657866034789523546e-02
18 325 7.319274e-01 1.874936e+02  1.189058246555869079e-02  1.189169139310473043e-02  1.303609222833443035e-02  1.699165832719030933e-02
19 343 7.445347e-01 2.002247e+02  1.165663583362656734e-02  1.165663583362656734e-02  1.267652767204761020e-02  8.190534610194659393e-02
20 361 7.633665e-01 2.133236e+02  1.165663583362656734e-02  1.190690098554067836e-02  1.568704687723347299e-02  2.082999630167341187e-02
21 379 7.693594e-01 2.217934e+02  1.165663583362656734e-02  1.167829849833039793e-02  1.276571465840143499e-02  1.669446506768901273e-02
22 397 7.630686e-01 2.469190e+02  1.165663583362656734e-02  1.206103188469708973e-02  1.265539397121809989e-02  2.095807167564040299e-02
23 415 7.539339e-01 2.526207e+02  1.165663583362656734e-02  1.178884892099147513e-02  1.451722357843852201e-02  3.358312531724728933e-02
24 433 7.463097e-01 2.702055e+02  1.156178242868621635e-02  1.156178242868621635e-02  1.324040870396455197e-02  1.745434309486948096e-02
25 451 7.505952e-01 2.715972e+02  1.156178242868621635e-02  1.177569945657152596e-02  1.286855481829111969e-02  2.025737350045303184e-02
26 469 7.452548e-01 2.872136e+02  1.135521757657798406e-02  1.135521757657798406e-02  1.296619937786907401e-02  2.347966143562078487e-02
27 487 7.401937e-01 2.796961e+02  1.135521757657798406e-02  1.156470444608398776e-02  1.355110284782516140e-02  2.083645860395460028e-02
28 505 7.294360e-01 2.763855e+02  1.135521757657798406e-02  1.196573853272625727e-02  1.440395988340993638e-02  7.540510730948707385e-02
29 523 7.399091e-01 2.830624e+02  1.102535086328456683e-02  1.102535086328456683e-02  1.175806240363072228e-02  1.729661940089935804e-02
30 541 7.418842e-01 2.852031e+02  1.029663190785243786e-02  1.029663190785243786e-02  1.198172629990190349e-02  5.634273130603478091e-02
31 559 7.519539e-01 2.928473e+02  1.029663190785243786e-02  1.051366848047876300e-02  1.250194002953692804e-02  3.840431046496148304e-02
32 577 7.538308e-01 2.990621e+02  1.029663190785243786e-02  1.112761949854513231e-02  1.244432701797404742e-02  4.984056935335573479e-02
33 595 7.493918e-01 3.032098e+02  1.029663190785243786e-02  1.099670843779870615e-02  1.353432948942847117e-02  1.760637803930464873e-01
34 613 7.437673e-01 3.115218e+02  1.019448548385407452e-02  1.019448548385407452e-02  1.192507655998344823e-02  1.101146979895288869e-01
35 631 7.267900e-01 3.202322e+02  1.003487968698480587e-02  1.003487968698480587e-02  1.254883750564647973e-02  4.444871374344374487e-02
36 649 7.124148e-01 3.414334e+02  1.003487968698480587e-02  1.025343442604112996e-02  1.245631815829269587e-02  7.102371625712328163e-02
37 667 6.991088e-01 3.492546e+02  1.003487968698480587e-02  1.005571831092770194e-02  1.243677255369294091e-02  2.157478322255043379e-01
38 685 6.895075e-01 3.530233e+02  9.462466978053640787e-03  9.462466978053640787e-03  1.281466013657984494e-02  4.347059443401716378e-02
39 703 6.758885e-01 3.612249e+02  8.950350541823510683e-03  8.950350541823510683e-03  1.226300901225478926e-02  2.330281549440008648e-01
40 721 6.598478e-01 3.587292e+02  8.950350541823510683e-03  9.477686206048848913e-03  1.435519953700621978e-02  1.666935183619830396e-01
41 739 6.346967e-01 3.734987e+02  8.950350541823510683e-03  1.143566768346501554e-02  1.377626102788766932e-02  1.406843677791197178e-01
42 757 6.144211e-01 3.826132e+02  8.434839380263417508e-03  8.434839380263417508e-03  1.175667233252605803e-02  1.594625070612724904e-02
43 775 5.962758e-01 3.854565e+02  8.434839380263417508e-03  1.057821346334971054e-02  1.241747229530169513e-02  1.420932397615967957e-01
44 793 5.820493e-01 3.732505e+02  8.434839380263417508e-03  9.995257465042779038e-03  1.146509343410439738e-02  9.270222842399182539e-02
45 811 5.707670e-01 3.526559e+02  8.434839380263417508e-03  9.346700214593318262e-03  1.098488225750291619e-02  1.418309863237965929e-01
46 829 5.702443e-01 3.597906e+02  8.233177865773582543e-03  8.233177865773582543e-03  1.238840959549162776e-02  2.018562955120447588e-01
47 847 5.582010e-01 3.631765e+02  8.233177865773582543e-03  8.637184031198365947e-03  1.130767332773410447e-02  2.307827348768755060e-01
48 865 5.489882e-01 3.618525e+02  8.233177865773582543e-03  8.301529416964568975e-03  1.157179195031877994e-02  1.515110210834245130e-01
49 883 5.402517e-01 3.616114e+02  7.983333557182387477e-03  7.983333557182387477e-03  1.210958533705298532e-02  7.858057960558760546e-02
50 901 5.256807e-01 3.631018e+02  7.734806781243381939e-03  7.734806781243381939e-03  1.243813403461154973e-02  2.731454198573387074e-02
51 919 5.259040e-01 3.516531e+02  7.734806781243381939e-03  8.672441082510116278e-03  1.088995466017895694e-02  1.726304399187642280e-01
52 937 5.298133e-01 3.803886e+02  5.202660637096969375e-03  5.202660637096969375e-03  1.020062662341354384e-02  7.197590994208492854e-02
53 955 5.286339e-01 3.806177e+02  5.202660637096969375e-03  6.958338015906017499e-03  1.205947860501985214e-02  2.979014216523735437e-01
54 973 5.204895e-01 3.664063e+02  5.202660637096969375e-03  7.153611479059016239e-03  1.183448636318194108e-02  2.959099601927189793e-01
55 991 5.208425e-01 3.576552e+02  5.202660637096969375e-03  5.226412255647678098e-03  1.094870071028867034e-02  2.462011477919831270e-01
56 1009 5.268607e-01 3.605228e+02  5.202660637096969375e-03  5.955087020076056670e-03  1.022477100206586713e-02  3.186847236136070571e-01
57 1027 5.381927e-01 3.662156e+02  4.819533195882446525e-03  4.819533195882446525e-03  1.209872059052745363e-02  2.096351792390810931e-01
58 1045 5.338703e-01 3.699048e+02  4.819533195882446525e-03  6.510855073193471537e-03  1.031517643397461895e-02  1.271408213592660208e-01
59 1063 5.193080e-01 3.686777e+02  4.819533195882446525e-03  5.522786967073430031e-03  1.168420089180513544e-02  2.855061923286651981e-01
60 1081 5.065439e-01 3.785265e+02  4.656390631304672435e-03  4.656390631304672435e-03  9.482052626903464398e-03  3.321343019241338457e-01
61 1099 4.909711e-01 3.798061e+02  4.656390631304672435e-03  6.461923763821841339e-03  1.109278182810615604e-02  1.236294047562325887e-01
62 1117 4.793634e-01 3.714759e+02  4.656390631304672435e-03  4.923025085503192344e-03  9.870274155189569590e-03  7.934596845903486850e-02
63 1135 4.738677e-01 3.775914e+02  3.958058701136423635e-03  3.958058701136423635e-03  1.219534669393996379e-02  9.548149597607218098e-02
64 1153 4.660141e-01 3.778286e+02  3.958058701136423635e-03  5.044896415470659715e-03  1.017252987730161984e-02  2.891397063199786510e-01
65 1171 4.601410e-01 3.808824e+02  3.958058701136423635e-03  6.134266827775123818e-03  9.507371887419218542e-03  3.368634785449625135e-01
66 1189 4.586398e-01 3.832312e+02  3.684541374655539610e-03  3.684541374655539610e-03  8.816888977892917839e-03  1.698816808871014272e-01
67 1207 4.548220e-01 3.791275e+02  3.684541374655539610e-03  5.099069209342386652e-03  1.190769536953626209e-02  1.739428297514953869e-01
