%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=214150, 2022/11/29 1:49:29.50)
1 19  1.937399985296118425e-04 0 0 2.224455e+03 8.704665e-01 1.998646e+01 2.003633e+01 6.095335e+01 4.171161e+00 4.758541e+00 3.225902e+01 7.529771e-01 6.868723e-01 2.715818e+00 -4.997900e-01 3.137365e-01 -3.737430e-01 1.421400e+01 1.326330e+01 7.576982e+00 1.550802e+00 1.079759e+02 1.103492e+00 8.276829e+00 1.053942e+02 1.492329e+02 6.551750e+01 3.093044e+00 2.814109e+01 1.537163e+01 1.025451e+03 1.034657e+02 2.592029e+02 6.938877e+02 1.578459e+02 9.977346e+02 
2 37  1.312292805433021444e-04 0 0 2.223463e+03 9.905026e-01 2.131724e+01 2.007886e+01 6.024221e+01 4.335713e+00 4.575694e+00 3.248573e+01 2.760489e-01 -4.952339e-01 3.390800e+00 -5.592495e-02 9.367599e-01 -1.048836e+00 1.530020e+01 1.333398e+01 7.440612e+00 5.534317e-01 1.078356e+02 9.157123e-01 9.495852e+00 1.056418e+02 1.498719e+02 6.593173e+01 3.862750e+00 2.940170e+01 1.512067e+01 1.025366e+03 1.029875e+02 2.592552e+02 6.940158e+02 1.592930e+02 9.977462e+02 
3 55  2.611783209891520730e-04 0 0 2.224162e+03 9.261653e-01 2.079045e+01 1.999145e+01 5.997476e+01 3.990215e+00 5.711433e+00 3.183067e+01 -2.266184e-01 1.469735e+00 3.189821e+00 -2.148479e-01 5.909121e-01 -1.498017e-03 1.471391e+01 1.299644e+01 7.610163e+00 2.533722e+00 1.087612e+02 1.689031e+00 7.869905e+00 1.046872e+02 1.498753e+02 6.638832e+01 3.685787e+00 2.840112e+01 1.493783e+01 1.024353e+03 1.037033e+02 2.590111e+02 6.933535e+02 1.583901e+02 9.985101e+02 
4 73  5.409170071934806592e-05 0 0 2.225029e+03 8.126752e-01 2.118658e+01 2.023828e+01 5.989535e+01 3.827629e+00 4.589235e+00 3.110113e+01 1.310115e+00 9.106765e-01 3.312877e+00 -2.627733e-01 5.983315e-01 -1.778199e-01 1.474716e+01 1.379859e+01 7.327743e+00 2.389270e+00 1.078266e+02 1.926171e+00 8.071828e+00 1.059586e+02 1.491997e+02 6.643880e+01 2.887488e+00 2.805590e+01 1.518451e+01 1.024644e+03 1.033520e+02 2.593962e+02 6.942751e+02 1.577470e+02 9.981141e+02 
5 91  5.295134040021866415e-04 0 0 2.224614e+03 9.996290e-01 2.222313e+01 2.037209e+01 5.994180e+01 4.491469e+00 5.040623e+00 3.188263e+01 -1.650615e-01 1.776074e+00 3.441276e+00 1.253679e-02 4.899506e-01 7.108474e-02 1.409881e+01 1.362486e+01 7.298864e+00 2.273494e+00 1.081688e+02 1.825895e+00 7.752975e+00 1.049820e+02 1.491638e+02 6.670027e+01 2.963072e+00 2.880989e+01 1.592887e+01 1.024860e+03 1.031108e+02 2.600418e+02 6.951927e+02 1.579401e+02 9.980492e+02 
6 109  8.621601019505309698e-05 0 0 2.225108e+03 8.833439e-01 2.269911e+01 2.015761e+01 6.033616e+01 4.178870e+00 5.072090e+00 3.119733e+01 4.160857e-01 1.201445e+00 2.742082e+00 -6.605951e-01 4.914773e-01 5.764066e-01 1.434367e+01 1.441007e+01 7.458226e+00 2.182198e+00 1.078894e+02 1.379558e+00 8.469537e+00 1.049889e+02 1.492966e+02 6.642060e+01 4.009439e+00 2.771869e+01 1.528081e+01 1.024080e+03 1.039504e+02 2.598137e+02 6.941590e+02 1.586814e+02 9.983761e+02 
7 127  7.431444935668033119e-05 0 0 2.224024e+03 8.813866e-01 2.175723e+01 2.027341e+01 5.986397e+01 4.524277e+00 4.318465e+00 3.077064e+01 2.185395e-01 2.021161e+00 3.257899e+00 -5.770328e-01 9.077837e-01 5.393729e-01 1.384844e+01 1.351634e+01 7.421653e+00 2.082315e+00 1.077666e+02 1.548413e+00 8.009115e+00 1.047695e+02 1.486826e+02 6.593124e+01 3.135899e+00 2.857985e+01 1.578433e+01 1.023943e+03 1.046592e+02 2.600323e+02 6.942932e+02 1.578172e+02 9.985307e+02 
8 145  8.746425921714686726e-05 0 0 2.225008e+03 9.027387e-01 2.283433e+01 2.070860e+01 5.881616e+01 3.711595e+00 5.008731e+00 3.246683e+01 2.465508e-01 1.036958e+00 3.100610e+00 -9.652774e-02 5.124216e-01 6.231522e-01 1.376238e+01 1.359423e+01 7.469025e+00 2.702883e+00 1.080207e+02 2.431806e+00 8.399377e+00 1.049478e+02 1.490020e+02 6.592145e+01 3.830884e+00 2.851122e+01 1.681031e+01 1.025198e+03 1.037404e+02 2.600340e+02 6.940495e+02 1.576434e+02 9.985655e+02 
9 163  1.593985487250754629e-04 0 0 2.224801e+03 8.839085e-01 2.183266e+01 2.099891e+01 5.881264e+01 3.861256e+00 5.103873e+00 3.161238e+01 1.009181e+00 1.898940e+00 3.030584e+00 1.413428e+00 6.059398e-01 1.005111e+00 1.412234e+01 1.352595e+01 8.100484e+00 1.590629e+00 1.073074e+02 2.314235e+00 8.266977e+00 1.050668e+02 1.496022e+02 6.680561e+01 3.146632e+00 2.900901e+01 1.616220e+01 1.024404e+03 1.043499e+02 2.604835e+02 6.952180e+02 1.585465e+02 9.984061e+02 
10 181  1.396569118474591585e-04 0 0 2.224429e+03 8.966512e-01 2.255688e+01 2.065108e+01 5.921763e+01 3.383562e+00 4.086334e+00 3.163351e+01 6.549123e-01 1.332054e+00 4.181462e+00 9.409768e-01 1.035433e+00 9.736189e-01 1.449382e+01 1.329480e+01 8.282828e+00 3.289601e+00 1.077026e+02 2.067296e+00 7.132934e+00 1.048907e+02 1.486821e+02 6.690594e+01 3.058476e+00 2.825131e+01 1.611054e+01 1.024383e+03 1.040956e+02 2.610676e+02 6.938329e+02 1.572413e+02 9.982295e+02 
