%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=209641, 2021/04/23 23:2:23.41)
1 19 4.799081e-01 0 0 4.677030e-01 4.726045e-01 4.631446e-01 4.757463e-01 5.007555e-01 5.228152e-01 4.664853e-01 4.771557e-01 4.682832e-01 4.750453e-01 4.928358e-01 4.629316e-01 4.676211e-01 4.583473e-01 5.012018e-01 4.779529e-01 4.633150e-01 4.714715e-01 4.635527e-01 4.709180e-01 4.799810e-01 4.655788e-01 4.642938e-01 4.691981e-01 4.763670e-01 4.582710e-01 4.797630e-01 4.746983e-01 
2 37 4.956828e-01 0 0 4.873933e-01 4.906105e-01 4.854669e-01 4.941924e-01 5.287957e-01 5.690685e-01 4.783724e-01 4.793107e-01 4.685409e-01 4.882084e-01 4.982475e-01 4.681615e-01 4.800795e-01 4.729059e-01 5.083437e-01 5.210855e-01 4.642365e-01 4.711775e-01 4.793150e-01 4.722112e-01 4.986563e-01 4.755543e-01 4.688622e-01 4.847500e-01 4.829975e-01 4.690636e-01 4.958344e-01 4.883508e-01 
3 55 5.197197e-01 0 0 5.320794e-01 5.133892e-01 5.277684e-01 5.191664e-01 5.563613e-01 6.090938e-01 5.177539e-01 4.914907e-01 4.842169e-01 5.151149e-01 5.138436e-01 4.768332e-01 4.989230e-01 4.886924e-01 5.458126e-01 5.590818e-01 4.956482e-01 4.888601e-01 4.909798e-01 4.877889e-01 5.154251e-01 5.081410e-01 4.782720e-01 4.985504e-01 4.879459e-01 4.819608e-01 5.074586e-01 5.172515e-01 
4 73 5.442299e-01 0 0 5.382968e-01 5.264880e-01 5.491083e-01 5.656834e-01 6.317524e-01 6.401141e-01 5.479605e-01 5.444419e-01 5.010850e-01 5.279430e-01 5.257099e-01 4.921751e-01 5.121466e-01 5.082473e-01 5.788592e-01 5.681798e-01 5.300871e-01 5.028203e-01 5.269062e-01 4.970181e-01 5.339908e-01 5.385652e-01 5.066288e-01 5.032402e-01 4.944608e-01 4.898067e-01 5.150804e-01 5.575424e-01 
5 91 5.616886e-01 0 0 5.387676e-01 5.347614e-01 5.426240e-01 5.684164e-01 6.595159e-01 6.828123e-01 5.576260e-01 5.382596e-01 5.009203e-01 5.244294e-01 5.312343e-01 5.041263e-01 5.158366e-01 5.367195e-01 5.879877e-01 5.813426e-01 5.236119e-01 5.567303e-01 5.384127e-01 4.927563e-01 5.655033e-01 5.446546e-01 5.062348e-01 4.981991e-01 5.009909e-01 5.015183e-01 5.191336e-01 5.810558e-01 
6 109 5.977119e-01 0 0 5.787173e-01 5.503364e-01 5.657060e-01 5.885021e-01 7.472592e-01 8.267485e-01 5.739351e-01 5.618683e-01 5.122915e-01 5.362867e-01 5.459071e-01 5.380962e-01 5.488039e-01 5.617706e-01 6.031592e-01 6.110570e-01 5.626846e-01 5.864798e-01 5.673656e-01 5.086609e-01 6.000331e-01 5.601018e-01 5.250594e-01 5.091380e-01 5.291763e-01 5.519045e-01 5.398851e-01 6.080966e-01 
7 127 6.505216e-01 0 0 6.239807e-01 5.826435e-01 6.409007e-01 6.348789e-01 8.268126e-01 9.792465e-01 6.002759e-01 6.043402e-01 5.577381e-01 5.731802e-01 5.874953e-01 5.795350e-01 6.140753e-01 6.040661e-01 6.683017e-01 6.842731e-01 6.039474e-01 6.226093e-01 5.995359e-01 5.909923e-01 6.414751e-01 5.898341e-01 5.648331e-01 5.509402e-01 5.647242e-01 5.874668e-01 5.846244e-01 6.778585e-01 
8 145 7.078016e-01 0 0 6.625215e-01 6.506075e-01 6.822602e-01 6.651409e-01 9.586006e-01 1.095337e+00 6.491758e-01 6.643999e-01 6.028567e-01 6.064627e-01 6.310203e-01 6.158889e-01 6.631668e-01 6.310582e-01 7.258456e-01 7.427682e-01 6.653403e-01 6.600212e-01 6.479679e-01 6.267003e-01 7.535037e-01 6.480327e-01 5.967955e-01 5.875451e-01 6.048112e-01 6.242346e-01 6.327412e-01 7.101557e-01 
9 163 7.966764e-01 0 0 7.217620e-01 7.206762e-01 7.649121e-01 7.732963e-01 1.098761e+00 1.397903e+00 7.474780e-01 7.364969e-01 6.676765e-01 6.772544e-01 6.916346e-01 7.101463e-01 7.742508e-01 7.214358e-01 8.196546e-01 8.037702e-01 7.558342e-01 7.562861e-01 7.153353e-01 6.852175e-01 8.382374e-01 7.069365e-01 6.640720e-01 6.688004e-01 6.865892e-01 6.906169e-01 7.063643e-01 7.720998e-01 
10 181 9.086319e-01 0 0 8.133539e-01 7.940021e-01 8.580623e-01 9.005009e-01 1.304355e+00 1.604598e+00 8.307135e-01 8.521903e-01 7.434135e-01 7.611013e-01 7.979225e-01 8.160203e-01 8.995103e-01 8.004317e-01 9.191915e-01 8.973966e-01 9.120684e-01 8.582355e-01 8.105117e-01 7.777134e-01 9.457518e-01 8.073184e-01 7.520373e-01 7.324265e-01 7.958427e-01 7.950403e-01 7.895939e-01 8.668543e-01 
11 199 1.042645e+00 0 0 9.114353e-01 8.870657e-01 9.778181e-01 1.008629e+00 1.501602e+00 1.945883e+00 9.805128e-01 9.515527e-01 8.597505e-01 8.975173e-01 9.245599e-01 9.006194e-01 1.061235e+00 9.155250e-01 1.032149e+00 9.918652e-01 1.022591e+00 9.844872e-01 8.907112e-01 8.937042e-01 1.093321e+00 9.345487e-01 8.820930e-01 8.569217e-01 9.379319e-01 9.171374e-01 8.860153e-01 9.708381e-01 
12 217 1.230697e+00 0 0 1.104377e+00 1.014933e+00 1.147252e+00 1.197331e+00 1.819342e+00 2.452410e+00 1.115702e+00 1.142609e+00 9.779394e-01 1.033276e+00 1.117130e+00 1.061283e+00 1.297760e+00 1.050174e+00 1.226382e+00 1.153895e+00 1.176828e+00 1.166272e+00 1.033483e+00 1.035933e+00 1.277095e+00 1.092138e+00 1.021092e+00 1.004435e+00 1.093957e+00 1.057496e+00 1.031276e+00 1.112507e+00 
13 235 1.402251e+00 0 0 1.239799e+00 1.113629e+00 1.292426e+00 1.339542e+00 2.037515e+00 2.724950e+00 1.262694e+00 1.304487e+00 1.123784e+00 1.161106e+00 1.243982e+00 1.199674e+00 1.466127e+00 1.157367e+00 1.340565e+00 1.302259e+00 1.397181e+00 1.318370e+00 1.178810e+00 1.181213e+00 1.447627e+00 1.285827e+00 1.180377e+00 1.153427e+00 1.210894e+00 1.171528e+00 1.139017e+00 1.265780e+00 
14 253 1.605771e+00 0 0 1.394569e+00 1.221823e+00 1.531264e+00 1.507778e+00 2.470187e+00 3.018641e+00 1.389894e+00 1.434067e+00 1.255200e+00 1.330666e+00 1.445027e+00 1.405373e+00 1.722862e+00 1.279604e+00 1.546440e+00 1.443377e+00 1.564051e+00 1.567176e+00 1.298106e+00 1.342921e+00 1.601006e+00 1.471114e+00 1.326717e+00 1.310323e+00 1.364356e+00 1.344795e+00 1.279438e+00 1.446191e+00 
