%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=209641, 2021/04/23 23:2:23.41)
1 19 4.799081e-01 1.140843e+00  3.132602803922987511e-01  3.132602803922987511e-01  3.139221619933275642e-01  3.144573046999639132e-01
2 37 4.956828e-01 1.225816e+00  3.126526716028518726e-01  3.126526716028518726e-01  3.133944034263173029e-01  3.140225591025655461e-01
3 55 5.197197e-01 1.277373e+00  3.125760270252130324e-01  3.125760270252130324e-01  3.129472060804616707e-01  3.136495351391126452e-01
4 73 5.442299e-01 1.306871e+00  3.122791598301144500e-01  3.122791598301144500e-01  3.127640966995165472e-01  3.134998511897431062e-01
5 91 5.616886e-01 1.385700e+00  3.119583155674191532e-01  3.119583155674191532e-01  3.124663991144677189e-01  3.133178253572100891e-01
6 109 5.977119e-01 1.625343e+00  3.111421433317892449e-01  3.111421433317892449e-01  3.120519503120161575e-01  3.126561224273574080e-01
7 127 6.505216e-01 1.777410e+00  3.095876852406474478e-01  3.095876852406474478e-01  3.113121948398214767e-01  3.120158105109713254e-01
8 145 7.078016e-01 1.864260e+00  3.086876222549502780e-01  3.086876222549502780e-01  3.106896159203338392e-01  3.119959355250606636e-01
9 163 7.966764e-01 2.105047e+00  2.943531555856206405e-01  2.943531555856206405e-01  3.099992198053528880e-01  3.110786467219796569e-01
10 181 9.086319e-01 2.190797e+00  2.943531555856206405e-01  2.957077438001201042e-01  3.072864160624623198e-01  3.107638089683670835e-01
11 199 1.042645e+00 2.270782e+00  4.075960270280910847e-02  4.075960270280910847e-02  3.019458586764547370e-01  3.096911349734780550e-01
12 217 1.230697e+00 2.507732e+00  2.909085373947555356e-02  2.909085373947555356e-02  1.818579924326384489e-01  3.055604685857903902e-01
13 235 1.402251e+00 2.446910e+00  2.560412437098932154e-02  2.560412437098932154e-02  3.720646613102131239e-02  2.857060332589326235e-01
14 253 1.605771e+00 2.470604e+00  9.155592838795691482e-03  9.155592838795691482e-03  2.549640456094662277e-02  5.210191084031603331e-02
15 271 1.837536e+00 2.481606e+00  4.253031178241994080e-03  4.253031178241994080e-03  1.381591505776695941e-02  3.061034071789255906e-01
16 289 2.074745e+00 2.407489e+00  2.009343374800676412e-03  2.009343374800676412e-03  8.803907247257427779e-03  2.508879486418789106e-01
17 307 2.298485e+00 2.372119e+00  1.170740317434286514e-03  1.170740317434286514e-03  3.549954228756422789e-03  3.067168292091978499e-01
18 325 2.516687e+00 2.322970e+00  9.581108113285111832e-04  9.581108113285111832e-04  1.574453440120756860e-03  3.051449061840592614e-01
19 343 2.680425e+00 2.248364e+00  9.581108113285111832e-04  9.823000565353557940e-04  2.420164167128386473e-03  2.782641588608852912e-01
20 361 2.821927e+00 2.205070e+00  9.563063747023193856e-04  9.563063747023193856e-04  2.289348883010074859e-03  2.894210913490718462e-01
21 379 2.864938e+00 2.168132e+00  9.563063747023193856e-04  9.584462214126331873e-04  1.837799085584146744e-03  2.963823840556374378e-01
22 397 2.848701e+00 2.191583e+00  9.563063747023193856e-04  9.663531636441592947e-04  1.914738804856686970e-03  2.936485375529285236e-01
23 415 2.810808e+00 2.230812e+00  9.526131331682333257e-04  9.526131331682333257e-04  1.178220388942713111e-03  2.984744105733584951e-01
24 433 2.725812e+00 2.267321e+00  9.526131331682333257e-04  9.535843452976010010e-04  1.887916267100088691e-03  2.956174303757035382e-01
25 451 2.673537e+00 2.304861e+00  9.526131331682333257e-04  9.535026623770442248e-04  1.349371595095344564e-03  2.913164950613900683e-01
26 469 2.620007e+00 2.343752e+00  9.526131331682333257e-04  9.640854716430958312e-04  1.252560184778508251e-03  3.009267374263317474e-01
