%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=209641, 2021/04/23 23:2:23.41)
1 19 4.799081e-01 1.089407e+00 9.549141e-01 9.549141e-01 9.550730e-01 9.646255e-01 9.650692e-01 9.654243e-01 9.659197e-01 9.674640e-01 9.701415e-01 9.720304e-01 9.743972e-01 9.745678e-01 9.757768e-01 9.776831e-01 9.812670e-01 9.824203e-01 9.847811e-01 9.891441e-01 9.898671e-01 9.913278e-01 9.926213e-01 9.942647e-01 9.959258e-01 9.996976e-01 1.000152e+00 1.026938e+00 1.043440e+00 1.044370e+00 1.089407e+00 
2 37 4.956828e-01 1.148050e+00 9.365596e-01 9.365596e-01 9.444780e-01 9.452434e-01 9.458916e-01 9.462979e-01 9.505624e-01 9.526479e-01 9.540495e-01 9.593924e-01 9.650777e-01 9.669706e-01 9.669792e-01 9.685216e-01 9.744085e-01 9.779439e-01 9.793902e-01 9.832766e-01 9.849210e-01 9.852082e-01 9.897671e-01 9.969932e-01 1.000306e+00 1.005174e+00 1.005999e+00 1.025542e+00 1.051248e+00 1.066802e+00 1.148050e+00 
3 55 5.197197e-01 1.171966e+00 9.174815e-01 9.174815e-01 9.202499e-01 9.273476e-01 9.316886e-01 9.385616e-01 9.388637e-01 9.403000e-01 9.406227e-01 9.447012e-01 9.456841e-01 9.536837e-01 9.592679e-01 9.599849e-01 9.764084e-01 9.777213e-01 9.878194e-01 9.886938e-01 9.911399e-01 9.917368e-01 9.952510e-01 9.962175e-01 9.989355e-01 1.015487e+00 1.023782e+00 1.050206e+00 1.070503e+00 1.075737e+00 1.171966e+00 
4 73 5.442299e-01 1.176183e+00 8.999996e-01 8.999996e-01 9.043513e-01 9.085513e-01 9.132502e-01 9.207230e-01 9.239116e-01 9.246830e-01 9.309094e-01 9.338833e-01 9.410481e-01 9.464390e-01 9.659702e-01 9.674000e-01 9.681683e-01 9.700734e-01 9.740131e-01 9.811860e-01 9.890981e-01 9.895913e-01 1.000389e+00 1.006855e+00 1.008964e+00 1.024461e+00 1.039420e+00 1.044007e+00 1.063630e+00 1.160819e+00 1.176183e+00 
5 91 5.616886e-01 1.215642e+00 8.772767e-01 8.772767e-01 8.869668e-01 8.918115e-01 8.919371e-01 8.928761e-01 8.975192e-01 9.012731e-01 9.183675e-01 9.242374e-01 9.322103e-01 9.336657e-01 9.457809e-01 9.520602e-01 9.555463e-01 9.582882e-01 9.585608e-01 9.591928e-01 9.660583e-01 9.696736e-01 9.911724e-01 9.927672e-01 1.006791e+00 1.011978e+00 1.034480e+00 1.034991e+00 1.046822e+00 1.174166e+00 1.215642e+00 
6 109 5.977119e-01 1.383189e+00 8.510135e-01 8.510135e-01 8.518117e-01 8.570878e-01 8.784490e-01 8.853368e-01 8.972329e-01 9.002601e-01 9.032530e-01 9.133282e-01 9.181747e-01 9.207387e-01 9.233621e-01 9.370766e-01 9.398686e-01 9.400320e-01 9.413977e-01 9.464526e-01 9.492292e-01 9.602203e-01 9.682212e-01 9.812083e-01 9.845916e-01 1.003884e+00 1.009114e+00 1.017374e+00 1.022327e+00 1.250200e+00 1.383189e+00 
7 127 6.505216e-01 1.505325e+00 8.469207e-01 8.469207e-01 8.573706e-01 8.681098e-01 8.682772e-01 8.811087e-01 8.908775e-01 8.956559e-01 8.987011e-01 9.030704e-01 9.031142e-01 9.067094e-01 9.084899e-01 9.216233e-01 9.227609e-01 9.284049e-01 9.285874e-01 9.290087e-01 9.439738e-01 9.570925e-01 9.592006e-01 9.759536e-01 9.852105e-01 9.860934e-01 1.027332e+00 1.042023e+00 1.051884e+00 1.270999e+00 1.505325e+00 
8 145 7.078016e-01 1.547520e+00 8.300987e-01 8.300987e-01 8.431678e-01 8.517313e-01 8.544926e-01 8.568259e-01 8.701435e-01 8.819345e-01 8.854180e-01 8.915214e-01 8.915751e-01 8.939528e-01 9.154654e-01 9.155571e-01 9.171720e-01 9.191948e-01 9.324947e-01 9.360272e-01 9.369389e-01 9.386810e-01 9.397279e-01 9.400097e-01 9.639145e-01 1.003326e+00 1.025493e+00 1.049402e+00 1.064569e+00 1.354335e+00 1.547520e+00 
9 163 7.966764e-01 1.754668e+00 8.335529e-01 8.335529e-01 8.380774e-01 8.394882e-01 8.500997e-01 8.600952e-01 8.618169e-01 8.668725e-01 8.681499e-01 8.866390e-01 8.873571e-01 8.913861e-01 8.978995e-01 9.046035e-01 9.055568e-01 9.059663e-01 9.244618e-01 9.382455e-01 9.487342e-01 9.493015e-01 9.601290e-01 9.691511e-01 9.706529e-01 9.718511e-01 1.008904e+00 1.028843e+00 1.052168e+00 1.379181e+00 1.754668e+00 
10 181 9.086319e-01 1.765949e+00 8.060762e-01 8.060762e-01 8.181679e-01 8.276589e-01 8.376344e-01 8.559170e-01 8.689920e-01 8.738435e-01 8.749861e-01 8.758692e-01 8.781581e-01 8.809196e-01 8.884988e-01 8.920132e-01 8.951412e-01 8.980758e-01 9.142465e-01 9.378829e-01 9.443454e-01 9.445360e-01 9.540215e-01 9.876349e-01 9.899611e-01 9.910514e-01 1.003782e+00 1.011621e+00 1.040853e+00 1.435515e+00 1.765949e+00 
