%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=211333, 2021/04/23 16:19:30.34)
1 19  2.105983006816200542e-02 0 0 9.999279e+03 1.000038e+04 5.031925e+00 9.386690e+00 9.407482e+00 1.461674e+00 2.064143e-01 6.820229e-01 3.851160e-01 1.820778e+00 5.620994e-01 1.864867e-02 8.213284e-01 4.464936e-01 1.211305e-01 9.345288e-01 4.789965e-03 -2.656191e-01 9.824784e-01 6.792781e-01 -4.497394e-01 1.818024e+00 -7.438261e-03 2.947112e-01 1.207327e+00 1.051487e+00 1.526706e+00 1.000325e+03 7.336384e-01 -8.737039e-01 9.392109e-02 2.368018e-01 
2 37  1.896039772267756746e-02 0 0 9.999411e+03 9.999920e+03 5.678006e+00 9.567976e+00 9.336850e+00 1.215981e+00 4.970292e-01 2.938642e-01 -5.397203e-01 1.194117e+00 8.225592e-01 5.609081e-01 5.621817e-01 -5.687156e-02 -3.757436e-02 1.805294e+00 -4.362447e-01 6.517192e-01 7.672914e-01 5.990167e-01 5.292703e-01 1.655631e+00 -2.988078e-01 -5.117597e-01 3.834022e-01 1.031805e+00 1.295883e+00 1.000419e+03 1.882602e+00 -2.078561e-01 -3.676723e-01 1.074837e-01 
3 55  1.401975197440667037e-02 0 0 1.000003e+04 1.000066e+04 5.752053e+00 1.044805e+01 9.421066e+00 6.172138e-01 -3.560202e-01 2.334506e-02 -4.167625e-01 1.624030e+00 6.483967e-01 7.545055e-01 2.947392e-01 -1.981028e-01 -6.304176e-01 1.287380e+00 9.356852e-01 3.288909e-01 1.370079e+00 -3.687169e-01 7.988164e-02 1.993063e+00 -2.060162e-01 3.120276e-01 1.461823e+00 -7.391845e-02 6.519890e-01 9.998509e+02 1.944385e+00 -6.829361e-02 1.316957e-02 -6.391875e-01 
4 73  1.004709134826839954e-02 0 0 9.999388e+03 1.000068e+04 5.134698e+00 9.065560e+00 9.110782e+00 2.578075e-01 2.428137e-01 -9.580765e-01 -1.820023e-01 1.257604e+00 7.318089e-01 5.975129e-01 -4.080235e-01 -4.400847e-01 -2.830610e-01 9.071093e-01 -2.942988e-01 -5.210769e-01 1.199387e+00 3.659538e-01 1.408961e-01 1.618154e+00 8.044058e-02 6.393838e-01 1.234328e+00 3.242557e-01 9.422702e-01 9.997422e+02 1.897676e+00 3.923615e-01 -6.142922e-01 -4.017596e-01 
5 91  1.018491364460230933e-02 0 0 9.999904e+03 1.000048e+04 5.459963e+00 8.445404e+00 9.224577e+00 2.522210e-01 2.239457e-01 -2.735130e-01 4.478342e-01 1.195736e+00 4.834006e-01 1.431204e-01 5.633975e-02 -1.561933e-01 1.975043e-02 1.050226e+00 -6.225071e-01 -2.155254e-01 1.756312e+00 1.443950e+00 4.652627e-01 2.670142e+00 -1.338996e-01 6.377644e-01 4.076011e-01 8.451194e-01 8.313564e-01 9.996017e+02 1.091019e+00 -1.345186e-02 -9.771136e-02 9.631571e-01 
6 109  9.772534160752046478e-03 0 0 9.999832e+03 1.000120e+04 4.780118e+00 8.894203e+00 8.833468e+00 2.450534e-01 7.498688e-01 9.541118e-02 -8.223758e-01 1.168471e+00 5.335538e-01 -1.322464e-02 1.896359e-02 5.856314e-02 7.219945e-02 7.477677e-01 -1.112693e+00 2.820497e-01 1.309486e+00 7.468583e-01 5.370868e-01 2.316271e+00 5.110227e-02 -2.087380e-02 2.116238e-01 -1.412060e-01 1.448667e+00 1.000524e+03 1.957576e+00 -4.454327e-03 -1.587502e-01 -1.878624e-01 
7 127  1.070222278884827398e-02 0 0 1.000017e+04 1.000050e+04 5.237352e+00 9.419920e+00 9.306599e+00 3.227478e-01 1.480848e+00 -2.701408e-01 -7.187594e-01 2.333959e+00 8.586695e-01 6.739266e-01 -3.309460e-01 7.199234e-01 9.366627e-02 9.263159e-01 -1.648556e-01 -1.006857e-01 1.595746e+00 -6.406634e-01 -6.392985e-02 2.244001e+00 -6.171812e-01 -7.199443e-02 1.415475e+00 -3.688208e-01 1.084716e+00 1.000308e+03 1.679398e+00 2.601050e-01 -3.095658e-01 7.258213e-02 
8 145  8.916829524417951153e-03 0 0 9.998964e+03 1.000038e+04 5.790359e+00 8.582213e+00 8.067032e+00 2.678089e-01 1.713562e+00 -1.542872e-01 -1.303165e+00 1.785312e+00 8.196029e-01 4.567067e-01 -3.936509e-01 8.969132e-01 8.112872e-01 1.273945e+00 -1.685532e-01 -5.437487e-01 1.254316e+00 -9.238475e-01 4.972336e-01 1.997885e+00 -1.818711e-01 5.905892e-02 1.985932e-01 -3.849350e-01 6.649396e-01 9.989856e+02 1.694676e+00 5.082531e-01 -6.194416e-01 -9.882139e-01 
9 163  1.017876662218564036e-02 0 0 1.000003e+04 1.000043e+04 5.592763e+00 9.573729e+00 8.139394e+00 4.031953e-01 2.948119e-01 -2.743327e-01 -5.378667e-02 1.438927e+00 8.300730e-01 1.214439e+00 -2.510300e-01 5.634255e-01 3.502404e-01 9.213156e-01 5.181469e-01 -6.561860e-01 1.675096e+00 1.094449e+00 5.828117e-01 1.613001e+00 -6.729380e-01 2.932043e-01 1.448838e+00 -1.321079e-01 8.945293e-01 1.000068e+03 1.716572e+00 -8.990700e-02 9.909786e-01 8.196646e-02 
10 181  9.470751044260853138e-03 0 0 9.999866e+03 9.999308e+03 5.269200e+00 9.153992e+00 8.362842e+00 2.187169e-01 1.236952e+00 -1.356747e-01 -1.160268e-01 2.680294e+00 5.904074e-01 3.522611e-01 -1.159304e+00 2.733294e-01 5.662234e-02 8.264792e-01 1.298289e-03 -6.356039e-01 1.140934e+00 -4.198746e-02 8.273352e-01 2.435089e+00 -7.283023e-01 -8.993231e-01 1.118230e+00 -3.839088e-01 1.923567e+00 9.996497e+02 1.418725e+00 -5.359203e-02 -1.203875e-01 -4.928939e-01 
