%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=211333, 2021/04/23 16:19:30.34)
1 19 4.707085e-01 1.036891e+00 9.612610e-01 9.612610e-01 9.656296e-01 9.727449e-01 9.743931e-01 9.748890e-01 9.752583e-01 9.772298e-01 9.795502e-01 9.804374e-01 9.805472e-01 9.810650e-01 9.815454e-01 9.824096e-01 9.910964e-01 9.945752e-01 9.947556e-01 9.953439e-01 9.955263e-01 9.958957e-01 9.960357e-01 1.002267e+00 1.005650e+00 1.006131e+00 1.007272e+00 1.008975e+00 1.010234e+00 1.010496e+00 1.015313e+00 1.017443e+00 1.020143e+00 1.034759e+00 1.036891e+00 
2 37 4.577861e-01 1.079448e+00 9.294781e-01 9.294781e-01 9.470322e-01 9.514666e-01 9.525388e-01 9.568285e-01 9.574461e-01 9.607085e-01 9.679159e-01 9.718930e-01 9.726695e-01 9.734455e-01 9.737083e-01 9.753554e-01 9.770899e-01 9.784181e-01 9.822605e-01 9.864666e-01 9.911961e-01 9.924146e-01 9.931066e-01 9.946845e-01 9.965869e-01 9.981714e-01 1.003141e+00 1.004162e+00 1.005466e+00 1.012909e+00 1.019794e+00 1.028519e+00 1.039378e+00 1.066087e+00 1.079448e+00 
3 55 4.600393e-01 1.180200e+00 9.165790e-01 9.165790e-01 9.166995e-01 9.171780e-01 9.386216e-01 9.449222e-01 9.472427e-01 9.475574e-01 9.539424e-01 9.577072e-01 9.589270e-01 9.600350e-01 9.645193e-01 9.667672e-01 9.670281e-01 9.679196e-01 9.717649e-01 9.755268e-01 9.797950e-01 9.872572e-01 1.002050e+00 1.004194e+00 1.005968e+00 1.008470e+00 1.017334e+00 1.026018e+00 1.036754e+00 1.040707e+00 1.045471e+00 1.055178e+00 1.064641e+00 1.096505e+00 1.180200e+00 
4 73 4.712806e-01 1.299344e+00 9.069742e-01 9.069742e-01 9.270151e-01 9.302721e-01 9.371749e-01 9.405539e-01 9.450283e-01 9.456297e-01 9.473161e-01 9.483092e-01 9.484718e-01 9.498846e-01 9.552416e-01 9.639100e-01 9.655345e-01 9.723567e-01 9.725121e-01 9.736793e-01 9.765076e-01 9.771671e-01 9.793591e-01 9.811327e-01 9.903666e-01 1.009264e+00 1.023882e+00 1.028162e+00 1.030103e+00 1.036629e+00 1.053799e+00 1.059598e+00 1.080165e+00 1.082738e+00 1.299344e+00 
5 91 4.780771e-01 1.343963e+00 8.898757e-01 8.898757e-01 8.959996e-01 9.138488e-01 9.213451e-01 9.214807e-01 9.229434e-01 9.266542e-01 9.288052e-01 9.292143e-01 9.380972e-01 9.398168e-01 9.422728e-01 9.437950e-01 9.513238e-01 9.635860e-01 9.679918e-01 9.717947e-01 9.750880e-01 9.823267e-01 9.920763e-01 1.007237e+00 1.021334e+00 1.032050e+00 1.034685e+00 1.040750e+00 1.049263e+00 1.055881e+00 1.072782e+00 1.078538e+00 1.092530e+00 1.100234e+00 1.343963e+00 
6 109 4.803279e-01 1.371453e+00 8.697139e-01 8.697139e-01 8.777528e-01 8.849484e-01 8.972473e-01 9.085838e-01 9.090226e-01 9.107541e-01 9.205081e-01 9.212608e-01 9.286486e-01 9.458728e-01 9.531298e-01 9.590216e-01 9.603887e-01 9.615507e-01 9.646472e-01 9.662578e-01 9.708821e-01 9.919688e-01 9.988220e-01 1.005112e+00 1.008614e+00 1.015063e+00 1.034526e+00 1.039166e+00 1.084330e+00 1.084339e+00 1.087269e+00 1.090260e+00 1.094035e+00 1.098778e+00 1.371453e+00 
7 127 4.841707e-01 1.371243e+00 8.543354e-01 8.543354e-01 8.722322e-01 8.741191e-01 8.990243e-01 8.992002e-01 9.084038e-01 9.114707e-01 9.145085e-01 9.145138e-01 9.295061e-01 9.345513e-01 9.414733e-01 9.473079e-01 9.558930e-01 9.624416e-01 9.660050e-01 9.690455e-01 9.745202e-01 9.847296e-01 9.930571e-01 1.004199e+00 1.009456e+00 1.013960e+00 1.033331e+00 1.047093e+00 1.062139e+00 1.065241e+00 1.069208e+00 1.095950e+00 1.132812e+00 1.143597e+00 1.371243e+00 
8 145 4.976486e-01 1.368119e+00 8.549808e-01 8.549808e-01 8.584627e-01 8.676188e-01 8.891312e-01 8.893223e-01 9.035464e-01 9.035726e-01 9.087899e-01 9.158628e-01 9.245878e-01 9.330349e-01 9.372258e-01 9.387655e-01 9.442864e-01 9.470685e-01 9.746254e-01 9.765378e-01 9.818979e-01 9.835311e-01 9.838323e-01 9.880015e-01 1.016381e+00 1.023658e+00 1.025947e+00 1.028147e+00 1.077309e+00 1.094778e+00 1.109293e+00 1.124147e+00 1.147536e+00 1.179009e+00 1.368119e+00 
9 163 4.958338e-01 1.346997e+00 8.426509e-01 8.426509e-01 8.493581e-01 8.541369e-01 8.694355e-01 8.783421e-01 8.823363e-01 8.843180e-01 8.943025e-01 9.152982e-01 9.184826e-01 9.210113e-01 9.226759e-01 9.229018e-01 9.231524e-01 9.319060e-01 9.468243e-01 9.659321e-01 9.812460e-01 9.838615e-01 9.938779e-01 1.002500e+00 1.020103e+00 1.037142e+00 1.037927e+00 1.052896e+00 1.059783e+00 1.120879e+00 1.135172e+00 1.139828e+00 1.144712e+00 1.196104e+00 1.346997e+00 
10 181 4.895275e-01 1.314650e+00 8.108909e-01 8.108909e-01 8.344000e-01 8.484658e-01 8.659153e-01 8.757314e-01 8.815940e-01 8.898021e-01 8.921973e-01 8.934501e-01 9.036932e-01 9.126517e-01 9.128696e-01 9.228907e-01 9.304650e-01 9.417797e-01 9.459435e-01 9.479559e-01 9.654515e-01 9.693593e-01 1.000785e+00 1.001291e+00 1.008033e+00 1.009340e+00 1.020990e+00 1.028893e+00 1.052025e+00 1.108093e+00 1.143246e+00 1.147572e+00 1.163879e+00 1.192366e+00 1.314650e+00 
