%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=217047, 2021/07/19 19:51:53.47)
1 19 9.221557e-01 1.065956e+00  3.239218450004374716e+01  7.706816670643119949e+01  1.518346760301653376e+03  8.237923986045052516e+03
2 37 8.778928e-01 1.104193e+00  3.239218450004374716e+01  7.476631038298376097e+01  1.821401930814947434e+02  8.297363930163124678e+03
3 55 8.444453e-01 1.144145e+00  3.239218450004374716e+01  7.478656913732947942e+01  1.591351852820680506e+02  6.547820470091345669e+03
4 73 8.187187e-01 1.224957e+00  3.239218450004374716e+01  7.310402323528775526e+01  1.600317638727770486e+02  6.118968020451870871e+03
5 91 8.093755e-01 1.276393e+00  3.239218450004374716e+01  5.843142346239635998e+01  1.727367516711070152e+02  8.130798175815358263e+03
6 109 8.147047e-01 1.367293e+00  3.239218450004374716e+01  6.376131603949109206e+01  1.475749756125030672e+02  5.171394320685833918e+03
7 127 8.145729e-01 1.479221e+00  3.239218450004374716e+01  6.516375607573463924e+01  1.269262537301103464e+02  1.002492041179497392e+04
8 145 7.872089e-01 1.582299e+00  3.239218450004374716e+01  6.711350373352753707e+01  1.232312541129366252e+02  6.637388194101306908e+03
9 163 7.724037e-01 1.706959e+00  3.239218450004374716e+01  6.391413800831106329e+01  1.170981026454067262e+02  6.926591557358918180e+03
10 181 7.693663e-01 1.811455e+00  3.239218450004374716e+01  7.461086300705539998e+01  1.187669182769897702e+02  7.476357024490533149e+03
11 199 7.728018e-01 1.917659e+00  3.239218450004374716e+01  6.431563316367243033e+01  1.404036241502042230e+02  6.532571364973953678e+03
12 217 7.662673e-01 2.054031e+00  3.239218450004374716e+01  6.999881783534286228e+01  1.789254477499899281e+02  6.147348039386050914e+03
13 235 7.734352e-01 2.174903e+00  3.239218450004374716e+01  7.483585355276575513e+01  1.086979552871844845e+02  7.689973592335166359e+03
14 253 7.737529e-01 2.292245e+00  3.239218450004374716e+01  4.205529592451129162e+01  1.009106242874611183e+02  5.558378245300898925e+03
15 271 7.749059e-01 2.370185e+00  3.239218450004374716e+01  8.094758393937107144e+01  1.708365276941499928e+02  5.511296368176500437e+03
16 289 7.844627e-01 2.509728e+00  3.239218450004374716e+01  7.282297579488033534e+01  8.372817419225623325e+02  5.700774055039868472e+03
17 307 7.970012e-01 2.586462e+00  3.239218450004374716e+01  7.088007542154967666e+01  1.148245495802866003e+02  4.085256730098817116e+03
18 325 8.118820e-01 2.853796e+00  3.239218450004374716e+01  5.752980856391823039e+01  8.798752123671678760e+01  7.359228546747165637e+03
19 343 8.480684e-01 3.139999e+00  3.239218450004374716e+01  5.642639549919317687e+01  9.418066900098349947e+01  3.637986793996577489e+03
20 361 8.583225e-01 3.257471e+00  3.239218450004374716e+01  5.214475974418581927e+01  1.406962133675124846e+02  5.404210927777518918e+03
21 379 8.634198e-01 3.380872e+00  3.239218450004374716e+01  5.413910052781628934e+01  7.739612080406746486e+01  5.937812051137972048e+03
22 397 8.453377e-01 3.672312e+00  3.239218450004374716e+01  5.510171829132664101e+01  8.225717757381470108e+01  1.053975572629367889e+04
23 415 8.318109e-01 3.795643e+00  3.239218450004374716e+01  5.467473910477597343e+01  1.043259311599001933e+02  6.168073140391277775e+03
24 433 8.510344e-01 4.073912e+00  3.239218450004374716e+01  4.880950959987208648e+01  1.047668103667477055e+02  7.019733011188013734e+03
