%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=209641, 2021/04/23 23:2:23.41)
1 19  3.132602803922987511e-01 0 0 5.000000e+07 5.000000e+07 1.345461e+01 9.731271e+00 1.103436e+01 9.162984e+00 4.799333e-01 -3.775931e-02 -8.838241e-02 7.184939e-01 -9.482650e-01 -1.200861e-01 9.938234e-01 -2.287709e-02 -1.137870e+00 1.793903e+00 -2.324062e-01 4.268281e-01 8.701843e-01 -6.137625e-02 -7.625124e-01 8.018105e-01 4.900065e-02 -5.975859e-02 9.993686e+02 9.969383e+00 9.301955e+00 9.991835e+02 
2 37  3.126526716028518726e-01 0 0 5.000000e+07 5.000000e+07 1.405026e+01 9.585444e+00 1.151707e+01 8.273605e+00 3.743256e-01 7.567472e-02 4.032130e-02 1.194330e+00 -5.467884e-01 2.967441e-01 1.020306e+00 -5.392392e-01 -7.447089e-01 4.754863e-01 2.318469e-01 3.351631e-01 1.272949e+00 8.815081e-02 6.752135e-01 3.146900e-01 1.912696e-01 1.926437e-01 9.993009e+02 9.318913e+00 9.595770e+00 9.996616e+02 
3 55  3.125760270252130324e-01 0 0 5.000000e+07 5.000000e+07 1.249165e+01 9.860824e+00 1.186588e+01 7.576062e+00 4.583051e-01 3.690663e-01 4.592994e-02 1.055610e+00 -3.012685e-01 6.762929e-01 8.418295e-01 -9.309561e-01 5.134510e-01 2.014959e+00 -7.910480e-01 6.488487e-01 8.283701e-01 -2.764481e-01 8.712389e-01 1.420504e+00 -2.030406e-01 -4.771558e-01 9.996952e+02 1.036509e+01 1.007074e+01 9.990863e+02 
4 73  3.122791598301144500e-01 0 0 5.000000e+07 5.000000e+07 1.333306e+01 8.963811e+00 1.260872e+01 8.202624e+00 -3.531481e-01 -1.617743e-01 -3.107181e-01 7.614897e-01 1.706333e-01 9.026522e-01 5.830294e-01 -5.670684e-01 -2.919672e-01 1.099103e+00 1.005405e+00 4.574923e-01 1.396471e+00 -2.101219e-01 7.834345e-01 6.579063e-01 4.839361e-01 2.024792e-01 9.997858e+02 1.049435e+01 1.025356e+01 1.000813e+03 
5 91  3.119583155674191532e-01 0 0 5.000000e+07 5.000000e+07 1.318121e+01 9.998345e+00 1.230392e+01 7.024590e+00 -2.157719e-01 1.859864e-01 7.258483e-02 3.242657e-01 4.374598e-02 -1.342865e-01 7.260894e-01 5.572705e-01 -6.669780e-01 1.868061e+00 6.123389e-01 -9.899265e-02 7.224964e-01 -2.509979e-01 -1.361791e-01 2.022451e-01 -1.602677e-01 1.295089e-01 9.995886e+02 9.372261e+00 1.007306e+01 1.000004e+03 
6 109  3.111421433317892449e-01 0 0 5.000000e+07 5.000000e+07 1.403047e+01 9.979402e+00 1.247513e+01 6.173584e+00 -4.396205e-02 8.973083e-02 -1.160658e-01 9.429518e-01 3.207776e-01 1.127098e+00 -1.826719e-01 -6.827469e-01 -4.854826e-01 1.010792e+00 1.004385e+00 5.758630e-01 2.964260e-01 4.274314e-03 -2.030671e-01 7.500727e-01 -4.094781e-01 5.256381e-01 1.000548e+03 9.990825e+00 9.378496e+00 9.998988e+02 
7 127  3.095876852406474478e-01 0 0 5.000000e+07 5.000000e+07 1.482830e+01 8.898749e+00 1.279893e+01 4.936287e+00 6.715838e-01 -1.824809e-02 -4.095550e-02 1.218609e+00 8.971852e-01 5.507082e-01 -8.220885e-01 -8.089977e-01 -6.599653e-01 1.563178e+00 3.881802e-01 9.375406e-01 9.485339e-01 -1.439884e+00 1.570092e-02 3.385265e-01 3.296254e-01 4.141237e-02 9.994666e+02 9.765799e+00 9.408144e+00 9.994335e+02 
8 145  3.086876222549502780e-01 0 0 5.000000e+07 5.000000e+07 1.357541e+01 9.688984e+00 1.410843e+01 4.476825e+00 6.986491e-02 8.174760e-01 -5.475555e-01 5.917935e-01 5.540688e-01 1.464377e+00 -5.790183e-01 -3.275091e-01 -1.259384e+00 1.383519e+00 1.712100e+00 9.919350e-01 1.421830e+00 3.607973e-01 1.745968e+00 1.442970e+00 2.422230e-01 7.257942e-01 9.999420e+02 1.001977e+01 8.733213e+00 9.998608e+02 
9 163  2.943531555856206405e-01 0 0 5.000000e+07 5.000000e+07 1.299006e+01 8.101700e+00 1.390318e+01 1.248335e+00 1.633210e+00 1.062099e+00 -5.008210e-01 1.403050e+00 -1.083378e-01 2.368042e+00 -2.420300e-01 -4.614204e-01 2.627551e-01 2.314261e+00 9.501352e-01 2.170709e+00 1.213194e+00 -1.877865e-01 -2.610311e-01 8.788263e-01 -8.523160e-01 1.360544e+00 9.988106e+02 9.712555e+00 9.688810e+00 1.000204e+03 
10 181  2.957077438001201042e-01 0 0 5.000000e+07 5.000000e+07 1.393498e+01 9.577977e+00 1.662102e+01 1.768244e+00 6.527575e-01 1.372409e+00 1.217443e-01 8.610748e-02 1.778001e+00 2.160850e+00 7.728407e-03 -4.749310e-01 -2.807780e-02 1.119134e+00 -5.728540e-01 1.990694e+00 6.259777e-01 -5.571778e-01 -4.481501e-01 1.896569e+00 6.725316e-01 7.995131e-01 9.981044e+02 1.081903e+01 9.441259e+00 1.000117e+03 
11 199  4.075960270280910847e-02 0 0 5.000000e+07 5.000000e+07 1.343387e+01 9.005798e+00 1.494522e+01 -9.411764e-01 1.861006e+00 6.570198e-01 -1.032303e+00 1.565858e+00 2.107366e+00 1.768637e+00 -1.502561e+00 -2.004616e+00 4.410933e-01 2.341499e+00 9.926466e-01 2.527753e+00 7.817810e-01 -1.150293e-01 -6.714210e-01 1.929725e+00 1.554357e+00 1.089388e+00 1.000263e+03 9.044569e+00 9.363351e+00 1.000923e+03 
12 217  2.909085373947555356e-02 0 0 5.000000e+07 5.000000e+07 1.307107e+01 7.529313e+00 1.788472e+01 -3.820078e+00 -4.432793e-01 1.377786e+00 -5.056358e-01 3.393614e-01 3.047656e+00 2.830982e+00 1.601815e+00 -1.562144e+00 -5.365257e-01 1.057945e+00 8.070608e-01 3.558436e+00 5.485181e-01 3.586558e-01 1.249978e+00 2.164903e+00 9.504322e-01 -4.866189e-02 9.996664e+02 1.012528e+01 1.020814e+01 1.001267e+03 
13 235  2.560412437098932154e-02 0 0 5.000000e+07 5.000000e+07 1.341253e+01 8.159873e+00 1.835584e+01 -4.988782e+00 1.707512e+00 1.719356e+00 1.449508e+00 1.188290e+00 1.010951e+00 2.246291e+00 -1.002694e+00 -8.871819e-01 4.113850e-01 3.207824e-01 -1.831151e+00 4.181317e+00 2.445017e+00 1.170561e+00 -1.459353e+00 3.807430e+00 5.331944e-01 1.018036e+00 1.000462e+03 9.474564e+00 9.398256e+00 9.994578e+02 
14 253  9.155592838795691482e-03 0 0 5.000000e+07 5.000000e+07 1.685670e+01 1.012968e+01 2.031043e+01 -2.320190e+00 7.368940e-01 -1.739536e-01 1.063853e+00 2.808287e+00 1.361279e+00 2.728120e+00 2.043036e+00 -1.983001e+00 -8.509855e-01 1.956119e+00 1.849265e+00 6.221862e+00 1.716108e+00 1.272260e+00 -8.687375e-01 3.662594e+00 -7.523370e-01 -1.201297e+00 9.989711e+02 9.269067e+00 8.349563e+00 9.999146e+02 
15 271  4.253031178241994080e-03 0 0 5.000000e+07 5.000000e+07 1.933346e+01 9.942584e+00 2.108083e+01 -3.890639e+00 6.704647e-01 4.132670e-01 3.411233e-01 4.983967e-01 3.531151e-01 1.059676e+00 1.180402e+00 1.894983e-01 -4.798682e-01 4.434094e-01 -5.687705e-01 7.150934e+00 2.161080e+00 4.125223e+00 -8.623941e-01 3.444477e+00 2.681506e-01 -3.148994e-01 1.000754e+03 1.030388e+01 1.002480e+01 1.002871e+03 
16 289  2.009343374800676412e-03 0 0 5.000000e+07 5.000000e+07 2.062375e+01 8.174245e+00 2.271420e+01 -1.884266e+00 6.067553e-01 1.568163e+00 7.749712e-01 1.525773e-01 8.979899e-01 3.576567e+00 2.170971e+00 -1.542611e+00 -1.231302e+00 -9.693244e-01 2.539283e+00 7.584850e+00 -4.554190e-01 2.438890e+00 -2.284266e+00 1.803958e+00 1.192545e-01 -3.686158e-01 1.000411e+03 1.051739e+01 7.592606e+00 1.002594e+03 
17 307  1.170740317434286514e-03 0 0 5.000000e+07 5.000000e+07 2.099785e+01 6.883975e+00 2.985724e+01 -3.808619e+00 2.728830e+00 4.787159e-01 -1.832958e+00 1.311835e+00 2.682261e+00 4.296770e+00 8.377246e-01 -2.829093e+00 3.192228e-01 -3.839038e-01 4.721211e+00 9.039720e+00 -6.460503e-01 7.463006e-01 -2.890957e+00 2.842395e+00 -1.861449e+00 5.693027e-01 9.994367e+02 1.110462e+01 1.009530e+01 9.983261e+02 
